(18, 22, 6),
(7, 6, 9),
(28, 23, 7),
(6, 5, 6),
(26, 23, 10),
(11, 5, 10),
(7, 24, 6),
(24, 5, 6),
(9, 5, 5),
(6, 7, 8),
(24, 35, 7),
(18, 23, 4),
(16, 7, 5),
(1, 35, 5),
(24, 24, 9),
(3, 6, 7),
(21, 7, 9),
(26, 35, 8),
(6, 35, 8),
(15, 5, 2),
(11, 5, 8),
(11, 22, 6),
(18, 10, 8),
(19, 35, 6),
(10, 23, 6),
(19, 22, 9),
(9, 6, 10),
(18, 35, 9),
(25, 22, 5),
(15, 5, 7),
(28, 23, 5),
(1, 22, 10),
(8, 24, 10),
(4, 10, 6),
(3, 22, 5),
(4, 6, 3),
(17, 23, 9),
(22, 5, 6),
(18, 10, 9),
(27, 10, 10),
(28, 6, 5),
(19, 6, 10),
(2, 10, 6),
(4, 35, 8),
(22, 22, 7),
(23, 6, 6),
(20, 35, 5),
(2, 5, 10),
(9, 10, 8),
(3, 7, 7),
(22, 23, 6),
(8, 10, 3),
(19, 24, 8),
(24, 10, 9),
(10, 35, 9),
(2, 5, 6),
(28, 22, 5),
(8, 6, 7),
(3, 22, 10),
(6, 6, 5),
(18, 7, 8),
(20, 10, 5),
(8, 22, 6),
(22, 7, 2),
(14, 22, 9),
(26, 5, 5),
(12, 6, 9),
(24, 24, 4),
(20, 35, 8),
(28, 22, 10),
(4, 5, 10),
(15, 10, 4),
(3, 22, 7),
(5, 23, 5),
(8, 7, 8),
(28, 6, 9),
(14, 23, 8),
(13, 23, 10),
(2, 22, 7),
(4, 24, 3),
(19, 5, 5),
(18, 22, 6),
(5, 6, 5),
(11, 22, 10),
(8, 10, 8),
(1, 35, 8),
(2, 35, 6),
(11, 35, 4),
(4, 6, 6),
(11, 5, 8),
(28, 10, 6),
(11, 24, 3),
(2, 24, 10),
(27, 10, 7),
(7, 10, 9),
(21, 24, 6),
(20, 6, 8),
(19, 23, 5),
(8, 23, 9),
(21, 22, 2),
(6, 22, 6),
(4, 7, 9),
(2, 7, 9),
(9, 35, 10),
(6, 23, 7),
(8, 35, 6),
(23, 23, 7),
(12, 23, 6),
(13, 5, 6),
(14, 10, 8),
(17, 10, 10),
(9, 24, 2),
(8, 24, 6),
(5, 6, 7),
(10, 7, 6),
(18, 35, 3),
(18, 7, 5),
(18, 24, 7),
(23, 6, 5),
(4, 6, 1),
(21, 6, 5),
(17, 23, 5),
(5, 6, 9),
(27, 5, 1),
(21, 22, 6),
(23, 35, 7),
(15, 6, 8),
(11, 7, 9),
(4, 7, 6),
(25, 5, 10),
(16, 35, 5),
(26, 23, 6),
(20, 7, 9),
(21, 23, 8),
(10, 23, 9),
(18, 7, 3),
(27, 6, 10),
(26, 6, 7),
(11, 6, 10),
(7, 7, 4),
(13, 5, 5),
(6, 22, 5),
(6, 23, 10),
(28, 6, 2),
(13, 6, 6),
(4, 6, 8),
(9, 5, 5),
(28, 22, 10),
(4, 5, 6),
(20, 5, 8),
(10, 23, 9),
(19, 22, 4),
(21, 35, 9),
(13, 6, 9),
(20, 10, 7),
(14, 10, 3),
(12, 7, 7),
(27, 23, 5),
(21, 6, 6),
(16, 24, 9),
(7, 24, 9),
(9, 23, 6),
(27, 10, 9),
(16, 24, 5),
(11, 10, 9),
(1, 5, 7),
(22, 24, 9),
(11, 22, 3),
(22, 5, 10),
(14, 5, 9),
(1, 5, 7),
(5, 35, 7),
(5, 22, 6),
(27, 6, 5),
(19, 6, 9),
(9, 22, 6),
(7, 7, 8),
(10, 22, 10),
(22, 23, 6),
(26, 7, 8),
(23, 22, 7),
(1, 5, 5),
(14, 23, 8),
(4, 5, 10),
(12, 5, 5),
(10, 23, 10),
(20, 6, 7),
(3, 35, 2),
(18, 7, 9),
(16, 10, 9),
(1, 7, 5),
(9, 5, 3),
(23, 7, 9),
(28, 35, 5),
(5, 5, 5),
(3, 24, 1),
(24, 10, 10),
(27, 6, 5),
(4, 22, 10),
(9, 23, 3),
(4, 24, 8),
(10, 10, 6),
(5, 7, 9),
(16, 5, 2),
(5, 5, 8),
(8, 7, 10),
(13, 23, 5),
(5, 22, 4),
(14, 23, 8),
(22, 22, 8),
(1, 22, 9),
(17, 5, 8),
(14, 23, 10),
(3, 22, 5),
(13, 6, 6),
(26, 6, 8),
(25, 22, 5),
(27, 23, 8),
(9, 22, 9),
(5, 6, 4),
(22, 6, 8),
(6, 23, 6),
(10, 7, 6),
(10, 24, 3),
(26, 22, 8),
(25, 23, 7),
(27, 10, 6),
(6, 10, 4),
(8, 23, 5),
(23, 23, 7),
(26, 6, 5),
(6, 7, 3),
(13, 10, 8),
(9, 35, 10),
(19, 22, 9),
(16, 7, 7),
(27, 6, 7),
(24, 6, 9),
(10, 23, 5),
(24, 6, 7),
(14, 24, 8),
(15, 7, 8),
(28, 24, 7),
(19, 22, 3),
(27, 24, 9),
(28, 22, 8),
(11, 22, 7),
(22, 5, 6),
(27, 6, 9),
(17, 7, 6),
(18, 23, 7),
(13, 7, 10),
(11, 22, 5),
(28, 5, 9),
(20, 35, 10),
(2, 6, 6),
(26, 23, 9),
(8, 6, 7),
(1, 10, 9),
(26, 22, 10),
(28, 23, 9),
(28, 5, 6),
(19, 24, 6),
(27, 22, 5),
(25, 5, 9),
(12, 7, 7),
(8, 35, 9),
(25, 10, 10),
(28, 5, 10),
(14, 22, 5),
(21, 6, 9),
(23, 7, 4),
(25, 6, 5),
(15, 22, 9),
(22, 35, 7),
(14, 10, 10),
(14, 5, 5),
(2, 6, 8),
(28, 6, 8),
(13, 10, 2),
(19, 6, 8),
(6, 23, 10),
(20, 10, 9),
(20, 23, 6),
(22, 22, 9),
(7, 5, 7),
(2, 10, 7),
(10, 7, 7),
(5, 24, 5),
(4, 22, 6),
(7, 5, 7),
(24, 7, 8),
(4, 5, 6),
(17, 7, 5),
(24, 35, 10),
(14, 10, 7),
(21, 22, 9),
(18, 6, 9),
(22, 22, 6),
(22, 22, 8),
(18, 6, 7),
(12, 23, 10),
(9, 10, 5),
(14, 24, 4),
(25, 6, 10),
(19, 10, 6),
(8, 22, 10),
(27, 22, 3),
(1, 5, 8),
(25, 10, 8),
(25, 23, 10),
(9, 5, 1),
(14, 24, 8),
(19, 5, 6),
(21, 23, 8),
(15, 7, 1),
(6, 35, 8),
(1, 7, 6),
(21, 10, 8),
(3, 6, 10),
(4, 35, 9),
(8, 24, 8),
(11, 23, 10),
(5, 35, 10),
(15, 10, 9),
(21, 10, 5),
(23, 6, 5),
(13, 23, 4),
(23, 22, 10),
(4, 10, 9),
(26, 35, 10),
(26, 6, 3),
(17, 35, 9),
(28, 24, 5),
(13, 7, 10),
(17, 23, 5),
(17, 24, 7),
(6, 7, 6),
(1, 24, 8),
(27, 24, 3),
(25, 10, 10),
(4, 24, 6),
(26, 10, 6),
(9, 10, 9),
(24, 23, 7),
(7, 6, 5),
(25, 35, 5),
(11, 23, 1),
(2, 6, 5),
(20, 35, 8),
(16, 22, 7),
(19, 5, 4),
(15, 23, 6),
(16, 22, 9),
(3, 23, 6),
(20, 6, 8),
